year,ave_price,ave_price_residence,ave_price_villadom,ave_price_office,ave_price_business,ave_price_other,dev_cnt,dev_domestic,dev_nation,dev_collectivity,dev_HMT,dev_foreign,total_investment,complete_investment,year_complete_investment,building_investment,equip_investment,other_investment,roadwork_area,complete_area,complete_rate,complete_price,complete_cost
2018,8736.9,8544.11,16242.48,14385.44,11150.49,5351.2,97937,94063,790,282,2719,1155,740022.33,519326.3,120263.51,75992.0,1524.58,42746.94,822300.24,93550.11,11.4,29902.01,3196.36
2017,7892.0,7614.0,14965.0,13543.0,10323.0,5364.0,95897,91608,943,319,3066,1223,656617.38,479080.01,109798.5,78577.69,1550.7,29670.13,781483.73,101486.41,13.0,31512.46,3105.0
2016,7476.0,7203.0,15911.0,14332.0,9786.0,4832.0,94948,90408,1093,364,3232,1308,587857.24,427854.38,102580.6,76302.19,1461.55,24816.87,758974.8,106127.71,14.0,32252.13,3039.0
2015,6793.0,6473.0,15157.0,12914.0,9566.0,4845.0,93426,88773,1329,409,3235,1418,536853.75,378089.48,95978.8,71195.57,1211.52,23571.75,735693.37,100039.1,13.6,30552.38,3054.0
2014,6324.0,5933.0,12965.0,11826.0,9817.0,5177.0,94197,89218,1476,457,3414,1565,493066.5,330830.08,95035.6,70561.11,1306.91,23167.59,726482.34,107459.05,14.8,30261.99,2816.14
2013,6237.0,5850.0,12591.0,12997.0,9777.0,4907.0,91444,86379,1739,570,3391,1674,430922.15,275881.28,86013.0,63919.25,1250.03,20844.1,665571.89,101434.99,15.2,26805.38,2642.62
2012,5790.99,5429.93,11460.19,12306.41,9020.91,4305.73,89859,84695,3354,904,3451,1713,358819.77,223645.54,71803.8,52036.26,1019.39,18748.13,573417.52,99424.96,17.3,24836.62,2498.03
2011,5357.1,4993.17,10993.92,12327.28,8488.21,4182.11,88419,83011,3427,1023,3565,1843,290001.82,174932.32,61796.9,44405.34,816.03,16575.52,506775.48,92619.94,18.3,21975.91,2372.7
2010,5032.0,4725.0,10934.0,11406.0,7747.0,4099.0,85218,79489,3685,1220,3677,2052,223823.35,133249.41,48259.4,33065.51,558.05,14635.84,405356.4,78743.9,19.4,17542.73,2228.0
2009,4681.0,4459.0,9662.0,10608.0,6871.0,3671.0,80407,74674,3835,1361,3633,2100,167348.18,99328.48,36241.8,25839.33,454.12,9948.35,320368.2,72677.4,22.7,14689.37,2021.0
2008,3800.0,3576.0,7801.0,8378.0,5886.0,3219.0,87562,81282,3941,1520,3916,2364,139989.86,84940.0,31203.2,21637.7,454.1,9111.4,283266.2,66544.8,23.5,11947.57,1795.0
2007,3863.9,3645.18,7471.25,8667.02,5773.83,3351.44,62518,56965,3617,1430,3524,2029,104670.93,64155.34,25288.8,17205.54,340.49,7742.81,236318.24,60606.68,25.6,10039.89,1656.57
2006,3366.79,3119.25,6584.93,8052.78,5246.62,3131.31,58710,53268,3797,1586,3519,1923,80955.66,48376.33,19422.9,13352.81,269.95,5800.1,194786.42,55830.92,28.7,8729.35,1563.53
2005,3167.66,2936.96,5833.95,6922.52,5021.75,2829.35,56290,50957,4145,1796,3443,1890,65116.74,37243.37,15909.2,10962.52,237.44,4709.29,166053.26,53417.04,32.2,7752.24,1451.27
2004,2778.0,2608.0,5576.0,5744.0,3884.0,2235.0,59242,53495,4775,2390,3639,2108,50570.39,30321.04,13158.3,8825.27,192.93,4140.04,140451.39,42464.87,30.2,5952.48,1402.0
2003,2359.0,2197.0,4145.0,4196.0,3675.14,2240.74,37123,33107,4558,2205,2840,1176,38171.68,22691.6,10153.8,6742.73,141.0,3270.07,117525.99,41464.06,35.3,5279.95,1273.38
2002,2250.0,2092.0,4154.0,4336.0,3488.57,1918.83,32618,28657,5015,2488,2884,1077,32189.1,18998.76,7790.9,5202.72,139.75,2448.46,94104.01,34975.75,37.2,4141.69,1184.16
2001,2170.0,2017.0,4348.0,4588.0,3273.53,2033.08,29552,25509,5862,2991,2959,1084,,15580.22,6344.1,,,,79411.68,29867.36,37.6,3369.45,1128.14
2000,2112.0,1948.0,4288.0,4751.0,3260.38,1864.37,27303,23277,6641,3492,2899,1127,,12816.37,4984.1,,,,65896.92,25104.86,38.1,2859.35,1138.96
