year,month,sales
2009,1,2287
2009,2,8426
2009,3,13314
2009,4,10742
2009,5,7339
2009,6,6671
2009,7,5819
2009,8,6263
2009,9,7920
2009,10,8757
2009,11,8741
2009,12,8740
2010,1,8029
2010,2,8631
2010,3,30132
2010,4,18422
2010,5,16032
2010,6,11472
2010,7,8964
2010,8,8846
2010,9,11647
2010,10,12349
2010,11,14344
2010,12,13877
2011,1,10872
2011,2,20279
2011,3,43063
2011,4,26445
2011,5,14288
2011,6,10443
2011,7,7665
2011,8,7864
2011,9,8868
2011,10,8922
2011,11,8908
2011,12,8495
2012,1,5221
2012,2,15618
2012,3,23248
2012,4,15370
2012,5,10870
2012,6,8287
2012,7,5886
2012,8,5495
2012,9,5905
2012,10,5921
2012,11,6657
2012,12,7105
2013,1,4999
2013,2,6059
2013,3,21764
2013,4,16257
2013,5,11547
2013,6,8328
2013,7,6351
2013,8,6221
2013,9,6837
2013,10,7447
2013,11,8004
2013,12,8590
2014,1,4533
2014,2,9410
2014,3,20075
2014,4,12910
2014,5,7965
2014,6,6311
2014,7,4616
2014,8,4494
2014,9,4559
2014,10,4975
2014,11,5184
2014,12,5475
2015,1,3564
2015,2,2614
2015,3,11516
2015,4,8488
2015,5,5370
2015,6,4158
2015,7,3236
2015,8,3016
2015,9,3185
2015,10,3394
2015,11,3860
2015,12,3948
2016,1,2950
2016,2,3654
2016,3,13744
2016,4,7159
2016,5,5454
2016,6,4449
2016,7,3664
2016,8,4370
2016,9,5459
2016,10,5816
2016,11,6664
2016,12,6910
2017,1,4548
2017,2,14530
2017,3,21389
2017,4,14397
2017,5,11271
2017,6,8933
2017,7,7656
2017,8,8714
2017,9,10496
2017,10,10541
2017,11,13822
2017,12,14005
2018,1,10687
2018,2,11113
2018,3,38261
2018,4,26561
2018,5,19313
2018,6,14188
2018,7,11123
2018,8,14072
2018,9,10924
2018,10,15274
2018,11,15877
2018,12,16027
